id_producto,nombre,descripcion,fecha_creacion,fecha_actualizacion,precio,cantidad_disponible
1,Multicolored LED Strip Lights,Flexible LED lights for creative home lighting designs.,2025-02-24,2025-07-11,29.99,7
1,Compact Umbrella,Portable and lightweight umbrella for protection from rain.,2025-02-23,2025-07-25,12.99,19
1,Scented Candles,Set of three aromatic candles with various scents.,2025-03-20,2025-09-26,19.99,10
1,Energy Protein Bars,Nutritious bars packed with protein for energy,2025-04-19,2025-07-02,2.29,36
1,Mango Chunks,Frozen mango chunks for smoothies or snacking.,2025-01-25,2025-09-07,4.89,53
1,Coconut Chia Pudding,Creamy chia pudding made with coconut milk and topped with mango.,2025-10-16,2025-10-07,3.49,53
1,Organic Lentil Soup,A hearty soup made with organic lentils and vegetables.,2025-09-03,2025-10-29,4.99,92
1,Marinara Parmesan Baked Ziti,Ziti pasta baked with marinara and parmesan cheese,2025-10-18,2025-09-07,8.49,23
1,Electric Wine Opener,Rechargeable electric wine opener for effortless uncorking.,2025-03-31,2025-09-22,29.99,63
1,Wireless Earbud Silicone Covers,Soft silicone earbud covers for comfort and fit.,2025-10-07,2025-08-11,9.99,86
1,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,2025-02-03,2025-08-21,8.99,68
1,Rice Noodles,"Thin rice noodles, ideal for stir-fries and soups.",2025-08-27,2025-07-30,3.49,1
1,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,2024-12-23,2025-09-28,6.49,11
1,Frozen Berry Blend,A mix of frozen berries for smoothies or desserts,2025-05-15,2025-10-26,4.99,53
1,Coconut Bowls Set,Handmade eco-friendly bowls made from real coconuts.,2024-11-12,2025-11-03,22.99,7
1,Crispy Tofu Bites,,2025-04-19,2025-08-08,4.99,84
1,Canned Black Beans,"Delicious and hearty black beans, great for soups or salads.",2025-03-04,2025-09-01,1.29,46
1,Yoga Blocks,Set of two yoga blocks for increased stability and support.,2025-03-20,2025-07-25,29.99,83
1,Zesty Garlic Hummus,Creamy chickpea dip infused with zesty garlic flavor.,2024-12-29,2025-08-04,3.99,60
1,Cinnamon Sugar Tortilla Chips,"Crispy chips with a sweet twist, perfect for dipping.",2025-10-15,2025-07-28,3.29,65
1,Reusable Coffee Filter,Eco-friendly coffee filter for brewing.,2025-02-28,2025-10-25,10.99,11
1,Basmati Rice,"Aromatic long-grain basmati rice, perfect for curries.",2024-11-29,2025-07-25,5.79,89
1,Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",2025-05-01,2025-09-24,5.99,82
1,Honey Mustard Chicken Breasts,Marinated chicken breasts coated in a sweet honey mustard glaze.,2025-05-18,2025-08-16,8.99,46
1,Smart Water Bottle with Hydration Reminder,Bottle that tracks your water intake and reminds you to drink.,2024-12-27,2025-07-25,39.99,44
1,Peach Salsa,Sweet and spicy salsa made with fresh peaches.,2025-05-19,2025-08-04,3.29,32
1,Smart Doorbell,Wi-Fi enabled doorbell with HD camera and two-way audio.,2025-04-13,2025-09-23,119.99,70
1,Vegan Taco Seasoning,Spice blend for creating flavorful vegan taco filling.,2024-12-16,2025-08-19,2.49,82
1,Heated Throw Blanket,Soft blanket that provides warmth with adjustable settings.,2025-08-30,2025-09-18,49.99,56
1,Spinach Artichoke Dip,"A delicious creamy dip featuring spinach and artichokes, perfect for parties.",2025-03-20,2025-09-14,4.99,59
1,Portable Pet Bathing Tool,Handheld sprayer designed for washing pets easily.,2025-07-10,2025-07-17,29.99,22
1,Chili Lime Corn Chips,Crunchy corn chips flavored with chili and lime for a zesty kick.,2025-02-27,2025-07-30,2.79,71
1,Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,2025-10-14,2025-09-22,3.99,6
1,Almond Butter Cups,"Rich chocolate cups filled with almond butter, a delicious treat.",2025-06-16,2025-08-19,3.29,18
1,Tailored Blazer,Sharp tailored blazer perfect for office wear and professional events.,2025-01-12,2025-08-17,99.99,56
1,Pumpkin Pancake Mix,Easy-to-make pancake mix with pumpkin spice flavor.,2025-06-24,2025-10-05,4.19,96
1,Coconut Cashew Yogurt,"Creamy yogurt made with coconut and cashews, dairy-free.",2025-09-18,2025-07-10,1.99,5
1,Cable Knit Beanie,A cozy cable knit beanie to keep your head warm in winter.,2025-05-09,2025-07-06,19.99,20
1,Creamy Ranch Dressing,Classic ranch dressing for salads and dipping.,2025-07-26,2025-08-22,2.49,81
1,Juice Extractor,Efficient juicer for fresh fruit and vegetable juices.,2024-11-17,2025-10-07,99.99,1
1,Cotton Quilted Throw Blanket,Cozy throw blanket perfect for adding warmth to your home.,2025-10-26,2025-08-20,39.99,6
1,Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,2025-03-01,2025-10-05,1.29,69
1,Sesame Oil,Nutty-scented oil for stir-fry and marinades.,2025-09-24,2025-08-09,3.99,71
1,Popcorn Chicken,"Crispy chicken bites, perfect for dipping.",2025-04-13,2025-09-15,6.49,56
1,Backpacking Tent,Lightweight and durable tent for camping trips.,2025-03-23,2025-08-06,109.99,31
1,Mushroom Soup (canned),Creamy soup full of rich mushroom flavor.,2025-03-28,2025-08-08,2.49,51
1,Crispy Potato Tots,"Golden brown potato tots, crispy on the outside and fluffy inside.",2025-06-12,2025-07-11,3.69,5
1,Electric Meat Grinder,Powerful grinder for making sausage and burgers at home.,2025-09-17,2025-11-02,89.99,58
1,Chino Shorts,Classic chino shorts in a versatile color for summer adventures.,2025-03-01,2025-10-31,34.99,22
1,Toilet Paper (12 rolls),Soft and strong toilet paper for everyday use.,2025-08-01,2025-09-08,8.99,31
1,Folding Backpack Chair,Versatile chair that easily folds up for carrying.,2025-09-01,2025-10-17,49.99,73
1,Lentil Soup (canned),Hearty lentil soup for a quick meal.,2025-08-31,2025-10-18,1.99,90
1,Chic Jumpsuit,An elegant jumpsuit that can be dressed up or down.,2024-12-05,,89.99,91
1,Rice Pilaf Mix,Quick and easy rice pilaf mix for side dishes.,2025-03-30,2025-07-29,2.59,95
1,Portable Camping Shower,Convenient shower system for camping and outdoor activities.,2025-07-29,2025-07-11,39.99,98
1,Cinnamon Roll Kit,Everything you need to make melt-in-your-mouth cinnamon rolls at home.,2025-10-29,2025-11-05,6.89,26
1,Adjustable Skipping Rope,Durable skipping rope with adjustable length for workouts.,2025-08-29,2025-07-19,12.99,54
1,Nut Mix,A blend of mixed nuts for snacking.,2025-05-13,2025-09-26,5.99,44
1,Men's Waterproof Hiking Boots,Durable boots designed for outdoor hiking and activities.,2025-08-26,2025-08-12,89.99,68
1,Yoga Mat,Non-slip yoga mat for optimal grip and comfort.,2025-06-02,2025-10-02,25,59
1,Thyme,"Fresh thyme, perfect for seasoning dishes.",2025-07-03,2025-08-28,2.49,87
1,Non-Stick Grill Pan,Heavy-duty grill pan for indoor grilling.,2025-06-03,2025-08-06,39.99,50
1,Coconut Chia Seed Pudding,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",2024-11-20,2025-10-12,2.99,36
1,Pasta Sauce Mix,Just add water for a quick pasta sauce.,2025-04-30,2025-08-19,1.29,82
1,Handmade Leather Wallet,High-quality leather wallet with multiple compartments.,2025-02-17,,49.99,73
1,Electric Stool Heater,Heated stool cover for extra comfort during winter.,2025-03-01,2025-09-05,29.99,98
1,Vegetable Samosas,Crispy pastry filled with seasoned vegetables.,2025-05-29,2025-09-09,4.99,90
1,High-Waisted Skirt,"Chic high-waisted skirt, perfect for professional or casual settings.",2025-06-26,2025-08-26,34.99,49
1,Sweet Potato Fries,"Crispy sweet potato fries, a delicious side dish.",2025-06-16,2025-07-16,3.99,17
1,Travel Pillow with Memory Foam,Ergonomically designed neck pillow for comfortable travel.,2025-07-22,2025-07-28,29.99,87
1,Sculpting Kit,Complete sculpting tools for artists.,2025-06-14,2025-10-20,25.99,38
1,Whole Grain Cereal,"Healthy whole grain cereal, great for breakfast.",2025-03-20,2025-08-16,3.49,57
1,Chocolate Avocado Pudding,Rich and creamy pudding made with ripe avocados and cocoa.,2025-02-02,2025-08-20,4.99,49
